Timestamp,Human readable date,a4cf12c65fb8_flowrate,a4cf12c65fb8_litros,a4cf12c65fb8_mililitros,a4cf12c65fb8_segundos,context_a4cf12c65fb8_flowrate,context_a4cf12c65fb8_litros,context_a4cf12c65fb8_mililitros,context_a4cf12c65fb8_segundos,created_at_a4cf12c65fb8_flowrate,created_at_a4cf12c65fb8_litros,created_at_a4cf12c65fb8_mililitros,created_at_a4cf12c65fb8_segundos
1641573563084,2022-01-07 10:39:23,0.0,0.0,0.0,1107958.0,{},{},{},{},1641573563084,1641573563084,1641573563084,1641573563084
1641573505771,2022-01-07 10:38:25,0.0,0.0,0.0,1107898.0,{},{},{},{},1641573505771,1641573505771,1641573505771,1641573505771
1641573442929,2022-01-07 10:37:22,0.0,0.0,0.0,1107838.0,{},{},{},{},1641573442929,1641573442929,1641573442929,1641573442929
1641573382995,2022-01-07 10:36:22,0.0,0.0,0.0,1107778.0,{},{},{},{},1641573382995,1641573382995,1641573382995,1641573382995
1641573322938,2022-01-07 10:35:22,0.0,0.0,0.0,1107718.0,{},{},{},{},1641573322938,1641573322938,1641573322938,1641573322938
1641573263910,2022-01-07 10:34:23,0.0,0.0,0.0,1107658.0,{},{},{},{},1641573263910,1641573263910,1641573263910,1641573263910
1641573203283,2022-01-07 10:33:23,0.0,0.0,0.0,1107598.0,{},{},{},{},1641573203283,1641573203283,1641573203283,1641573203283
1641573144611,2022-01-07 10:32:24,0.0,0.0,0.0,1107538.0,{},{},{},{},1641573144611,1641573144611,1641573144611,1641573144611
1641573083137,2022-01-07 10:31:23,0.0,0.0,0.0,1107478.0,{},{},{},{},1641573083137,1641573083137,1641573083137,1641573083137
1641573024193,2022-01-07 10:30:24,0.0,0.0,0.0,1107418.0,{},{},{},{},1641573024193,1641573024193,1641573024193,1641573024193
1641572963001,2022-01-07 10:29:23,0.0,0.0,0.0,1107358.0,{},{},{},{},1641572963001,1641572963001,1641572963001,1641572963001
1641572904173,2022-01-07 10:28:24,0.0,0.0,0.0,1107298.0,{},{},{},{},1641572904173,1641572904173,1641572904173,1641572904173
1641572842994,2022-01-07 10:27:22,0.0,0.0,0.0,1107238.0,{},{},{},{},1641572842994,1641572842994,1641572842994,1641572842994
1641572782963,2022-01-07 10:26:22,0.0,0.0,0.0,1107178.0,{},{},{},{},1641572782963,1641572782963,1641572782963,1641572782963
1641572722977,2022-01-07 10:25:22,0.0,0.0,0.0,1107118.0,{},{},{},{},1641572722977,1641572722977,1641572722977,1641572722977
1641572664975,2022-01-07 10:24:24,0.0,0.0,0.0,1107058.0,{},{},{},{},1641572664975,1641572664975,1641572664975,1641572664975
1641572602989,2022-01-07 10:23:22,0.0,0.0,0.0,1106999.0,{},{},{},{},1641572602989,1641572602989,1641572602989,1641572602989
1641572543115,2022-01-07 10:22:23,0.0,0.0,0.0,1106938.0,{},{},{},{},1641572543115,1641572543115,1641572543115,1641572543115
1641572484398,2022-01-07 10:21:24,0.0,0.0,0.0,1106878.0,{},{},{},{},1641572484398,1641572484398,1641572484398,1641572484398
1641572422928,2022-01-07 10:20:22,0.0,0.0,0.0,1106818.0,{},{},{},{},1641572422928,1641572422928,1641572422928,1641572422928
1641572362960,2022-01-07 10:19:22,0.0,0.0,0.0,1106759.0,{},{},{},{},1641572362960,1641572362960,1641572362960,1641572362960
1641572303025,2022-01-07 10:18:23,0.0,0.0,0.0,1106698.0,{},{},{},{},1641572303025,1641572303025,1641572303025,1641572303025
1641572242932,2022-01-07 10:17:22,0.0,0.0,0.0,1106638.0,{},{},{},{},1641572242932,1641572242932,1641572242932,1641572242932
1641572182936,2022-01-07 10:16:22,0.0,0.0,0.0,1106578.0,{},{},{},{},1641572182936,1641572182936,1641572182936,1641572182936
1641572122932,2022-01-07 10:15:22,0.0,0.0,0.0,1106518.0,{},{},{},{},1641572122932,1641572122932,1641572122932,1641572122932
1641572063238,2022-01-07 10:14:23,0.0,0.0,0.0,1106459.0,{},{},{},{},1641572063238,1641572063238,1641572063238,1641572063238
1641572003037,2022-01-07 10:13:23,0.0,0.0,0.0,1106398.0,{},{},{},{},1641572003037,1641572003037,1641572003037,1641572003037
1641571942919,2022-01-07 10:12:22,0.0,0.0,0.0,1106338.0,{},{},{},{},1641571942919,1641571942919,1641571942919,1641571942919
1641571883139,2022-01-07 10:11:23,0.0,0.0,0.0,1106278.0,{},{},{},{},1641571883139,1641571883139,1641571883139,1641571883139
1641571824988,2022-01-07 10:10:24,0.0,0.0,0.0,1106218.0,{},{},{},{},1641571824988,1641571824988,1641571824988,1641571824988
1641571763020,2022-01-07 10:09:23,0.0,0.0,0.0,1106158.0,{},{},{},{},1641571763020,1641571763020,1641571763020,1641571763020
1641571702940,2022-01-07 10:08:22,0.0,0.0,0.0,1106099.0,{},{},{},{},1641571702940,1641571702940,1641571702940,1641571702940
1641571643052,2022-01-07 10:07:23,0.0,0.0,0.0,1106038.0,{},{},{},{},1641571643052,1641571643052,1641571643052,1641571643052
1641571582943,2022-01-07 10:06:22,0.0,0.0,0.0,1105978.0,{},{},{},{},1641571582943,1641571582943,1641571582943,1641571582943
1641571522914,2022-01-07 10:05:22,0.0,0.0,0.0,1105919.0,{},{},{},{},1641571522914,1641571522914,1641571522914,1641571522914
1641571463070,2022-01-07 10:04:23,0.0,0.0,0.0,1105858.0,{},{},{},{},1641571463070,1641571463070,1641571463070,1641571463070
1641571402913,2022-01-07 10:03:22,0.0,0.0,0.0,1105798.0,{},{},{},{},1641571402913,1641571402913,1641571402913,1641571402913
1641571342925,2022-01-07 10:02:22,0.0,0.0,0.0,1105738.0,{},{},{},{},1641571342925,1641571342925,1641571342925,1641571342925
1641571283160,2022-01-07 10:01:23,0.0,0.0,0.0,1105678.0,{},{},{},{},1641571283160,1641571283160,1641571283160,1641571283160
1641571222987,2022-01-07 10:00:22,0.0,0.0,0.0,1105618.0,{},{},{},{},1641571222987,1641571222987,1641571222987,1641571222987
1641571162973,2022-01-07 09:59:22,0.0,0.0,0.0,1105558.0,{},{},{},{},1641571162973,1641571162973,1641571162973,1641571162973
1641571102966,2022-01-07 09:58:22,0.0,0.0,0.0,1105498.0,{},{},{},{},1641571102966,1641571102966,1641571102966,1641571102966
1641571042955,2022-01-07 09:57:22,0.0,0.0,0.0,1105438.0,{},{},{},{},1641571042955,1641571042955,1641571042955,1641571042955
1641570985027,2022-01-07 09:56:25,0.0,0.0,0.0,1105378.0,{},{},{},{},1641570985027,1641570985027,1641570985027,1641570985027
1641570923036,2022-01-07 09:55:23,0.0,0.0,0.0,1105318.0,{},{},{},{},1641570923036,1641570923036,1641570923036,1641570923036
1641570863179,2022-01-07 09:54:23,0.0,0.0,0.0,1105258.0,{},{},{},{},1641570863179,1641570863179,1641570863179,1641570863179
1641570802910,2022-01-07 09:53:22,0.0,0.0,0.0,1105198.0,{},{},{},{},1641570802910,1641570802910,1641570802910,1641570802910
1641570742984,2022-01-07 09:52:22,0.0,0.0,0.0,1105138.0,{},{},{},{},1641570742984,1641570742984,1641570742984,1641570742984
1641570682925,2022-01-07 09:51:22,0.0,0.0,0.0,1105078.0,{},{},{},{},1641570682925,1641570682925,1641570682925,1641570682925
1641570622995,2022-01-07 09:50:22,0.0,0.0,0.0,1105018.0,{},{},{},{},1641570622995,1641570622995,1641570622995,1641570622995
1641570562987,2022-01-07 09:49:22,0.0,0.0,0.0,1104959.0,{},{},{},{},1641570562987,1641570562987,1641570562987,1641570562987
1641570503090,2022-01-07 09:48:23,0.0,0.0,0.0,1104898.0,{},{},{},{},1641570503090,1641570503090,1641570503090,1641570503090
1641570442919,2022-01-07 09:47:22,0.0,0.0,0.0,1104839.0,{},{},{},{},1641570442919,1641570442919,1641570442919,1641570442919
1641570383098,2022-01-07 09:46:23,0.0,0.0,0.0,1104778.0,{},{},{},{},1641570383098,1641570383098,1641570383098,1641570383098
1641570322927,2022-01-07 09:45:22,0.0,0.0,0.0,1104718.0,{},{},{},{},1641570322927,1641570322927,1641570322927,1641570322927
1641570262912,2022-01-07 09:44:22,0.0,0.0,0.0,1104658.0,{},{},{},{},1641570262912,1641570262912,1641570262912,1641570262912
1641570202909,2022-01-07 09:43:22,0.0,0.0,0.0,1104598.0,{},{},{},{},1641570202909,1641570202909,1641570202909,1641570202909
1641570142956,2022-01-07 09:42:22,0.0,0.0,0.0,1104539.0,{},{},{},{},1641570142956,1641570142956,1641570142956,1641570142956
1641570085091,2022-01-07 09:41:25,0.0,0.0,0.0,1104478.0,{},{},{},{},1641570085091,1641570085091,1641570085091,1641570085091
1641570022922,2022-01-07 09:40:22,0.0,0.0,0.0,1104418.0,{},{},{},{},1641570022922,1641570022922,1641570022922,1641570022922
1641569962942,2022-01-07 09:39:22,0.0,0.0,0.0,1104358.0,{},{},{},{},1641569962942,1641569962942,1641569962942,1641569962942
1641569903019,2022-01-07 09:38:23,0.0,0.0,0.0,1104298.0,{},{},{},{},1641569903019,1641569903019,1641569903019,1641569903019
