Timestamp,Human readable date,bcddc2462d2e_flowrate,bcddc2462d2e_litros,bcddc2462d2e_mililitros,bcddc2462d2e_segundos,context_bcddc2462d2e_flowrate,context_bcddc2462d2e_litros,context_bcddc2462d2e_mililitros,context_bcddc2462d2e_segundos,created_at_bcddc2462d2e_flowrate,created_at_bcddc2462d2e_litros,created_at_bcddc2462d2e_mililitros,created_at_bcddc2462d2e_segundos
1641576469646,2022-01-07 11:27:49,0.1499975025653839,0.0,328.0,599.0,{},{},{},{},1641576469646,1641576469646,1641576469646,1641576469646
1641576408433,2022-01-07 11:26:48,1.3333110809326172,0.0,326.0,539.0,{},{},{},{},1641576408433,1641576408433,1641576408433,1641576408433
1641576348354,2022-01-07 11:25:48,3.6166064739227295,0.0,304.0,479.0,{},{},{},{},1641576348354,1641576348354,1641576348354,1641576348354
1641576288352,2022-01-07 11:24:48,0.983316957950592,0.0,244.0,419.0,{},{},{},{},1641576288352,1641576288352,1641576288352,1641576288352
1641576228334,2022-01-07 11:23:48,2.633289337158203,0.0,228.0,359.0,{},{},{},{},1641576228334,1641576228334,1641576228334,1641576228334
1641576168594,2022-01-07 11:22:48,2.8666188716888428,0.0,185.0,299.0,{},{},{},{},1641576168594,1641576168594,1641576168594,1641576168594
1641576108583,2022-01-07 11:21:48,0.1833302825689316,0.0,138.0,239.0,{},{},{},{},1641576108583,1641576108583,1641576108583,1641576108583
1641576048283,2022-01-07 11:20:48,3.5666072368621826,0.0,135.0,179.0,{},{},{},{},1641576048283,1641576048283,1641576048283,1641576048283
1641575990591,2022-01-07 11:19:50,3.2666122913360596,0.0,76.0,119.0,{},{},{},{},1641575990591,1641575990591,1641575990591,1641575990591
1641575930721,2022-01-07 11:18:50,1.3666439056396484,0.0,22.0,59.0,{},{},{},{},1641575930721,1641575930721,1641575930721,1641575930721
1641575851979,2022-01-07 11:17:31,0.11666472256183624,2.0,2248.0,3840.0,{},{},{},{},1641575851979,1641575851979,1641575851979,1641575851979
1641575792212,2022-01-07 11:16:32,3.766603946685791,2.0,2247.0,3779.0,{},{},{},{},1641575792212,1641575792212,1641575792212,1641575792212
1641575732082,2022-01-07 11:15:32,3.949934244155884,2.0,2185.0,3719.0,{},{},{},{},1641575732082,1641575732082,1641575732082,1641575732082
1641575672517,2022-01-07 11:14:32,0.1999966651201248,2.0,2120.0,3659.0,{},{},{},{},1641575672517,1641575672517,1641575672517,1641575672517
1641575612872,2022-01-07 11:13:32,2.3499608039855957,2.0,2117.0,3599.0,{},{},{},{},1641575612872,1641575612872,1641575612872,1641575612872
1641575553225,2022-01-07 11:12:33,2.0499658584594727,2.0,2078.0,3539.0,{},{},{},{},1641575553225,1641575553225,1641575553225,1641575553225
1641575494519,2022-01-07 11:11:34,0.48332527279853826,2.0,2044.0,3479.0,{},{},{},{},1641575494519,1641575494519,1641575494519,1641575494519
1641575434591,2022-01-07 11:10:34,1.6166397333145142,2.0,2036.0,3419.0,{},{},{},{},1641575434591,1641575434591,1641575434591,1641575434591
1641575371990,2022-01-07 11:09:31,3.9666006565093994,1.0,2010.0,3359.0,{},{},{},{},1641575371990,1641575371990,1641575371990,1641575371990
1641575325268,2022-01-07 11:08:45,0.866652250289917,1.0,1944.0,3300.0,{},{},{},{},1641575325268,1641575325268,1641575325268,1641575325268
1641575253163,2022-01-07 11:07:33,3.999933242797851,1.0,1930.0,3239.0,{},{},{},{},1641575253163,1641575253163,1641575253163,1641575253163
1641575191882,2022-01-07 11:06:31,2.6999549865722656,1.0,1864.0,3179.0,{},{},{},{},1641575191882,1641575191882,1641575191882,1641575191882
1641575131823,2022-01-07 11:05:31,0.6166563630104065,1.0,1820.0,3119.0,{},{},{},{},1641575131823,1641575131823,1641575131823,1641575131823
1641575072067,2022-01-07 11:04:32,3.333277702331543,1.0,1810.0,3059.0,{},{},{},{},1641575072067,1641575072067,1641575072067,1641575072067
1641575014607,2022-01-07 11:03:34,0.7333211302757264,1.0,1755.0,2999.0,{},{},{},{},1641575014607,1641575014607,1641575014607,1641575014607
1641574953313,2022-01-07 11:02:33,3.5166079998016357,1.0,1743.0,2939.0,{},{},{},{},1641574953313,1641574953313,1641574953313,1641574953313
1641574892134,2022-01-07 11:01:32,4.049932479858398,1.0,1685.0,2879.0,{},{},{},{},1641574892134,1641574892134,1641574892134,1641574892134
1641574832422,2022-01-07 11:00:32,2.633289337158203,1.0,1618.0,2819.0,{},{},{},{},1641574832422,1641574832422,1641574832422,1641574832422
1641574771686,2022-01-07 10:59:31,2.083298683166504,1.0,1575.0,2759.0,{},{},{},{},1641574771686,1641574771686,1641574771686,1641574771686
1641574714436,2022-01-07 10:58:34,1.28331196308136,1.0,1541.0,2699.0,{},{},{},{},1641574714436,1641574714436,1641574714436,1641574714436
1641574656765,2022-01-07 10:57:36,0.7999866604804992,1.0,1520.0,2639.0,{},{},{},{},1641574656765,1641574656765,1641574656765,1641574656765
1641574591849,2022-01-07 10:56:31,0.0999983325600624,1.0,1507.0,2579.0,{},{},{},{},1641574591849,1641574591849,1641574591849,1641574591849
1641574531933,2022-01-07 10:55:31,0.6333227753639221,1.0,1506.0,2519.0,{},{},{},{},1641574531933,1641574531933,1641574531933,1641574531933
1641574471762,2022-01-07 10:54:31,0.5166580677032471,1.0,1496.0,2459.0,{},{},{},{},1641574471762,1641574471762,1641574471762,1641574471762
1641574411749,2022-01-07 10:53:31,1.9499675035476685,1.0,1488.0,2399.0,{},{},{},{},1641574411749,1641574411749,1641574411749,1641574411749
1641574352365,2022-01-07 10:52:32,3.6499390602111816,1.0,1456.0,2339.0,{},{},{},{},1641574352365,1641574352365,1641574352365,1641574352365
1641574291761,2022-01-07 10:51:31,3.766603946685791,1.0,1396.0,2279.0,{},{},{},{},1641574291761,1641574291761,1641574291761,1641574291761
1641574231804,2022-01-07 10:50:31,1.583306908607483,1.0,1334.0,2219.0,{},{},{},{},1641574231804,1641574231804,1641574231804,1641574231804
1641574171698,2022-01-07 10:49:31,1.6999716758728027,1.0,1308.0,2159.0,{},{},{},{},1641574171698,1641574171698,1641574171698,1641574171698
1641574112075,2022-01-07 10:48:32,4.016599655151367,1.0,1280.0,2099.0,{},{},{},{},1641574112075,1641574112075,1641574112075,1641574112075
1641574051795,2022-01-07 10:47:31,1.4833085536956787,1.0,1214.0,2039.0,{},{},{},{},1641574051795,1641574051795,1641574051795,1641574051795
1641573992184,2022-01-07 10:46:32,4.133264541625977,1.0,1190.0,1979.0,{},{},{},{},1641573992184,1641573992184,1641573992184,1641573992184
1641573931730,2022-01-07 10:45:31,1.6999716758728027,1.0,1122.0,1919.0,{},{},{},{},1641573931730,1641573931730,1641573931730,1641573931730
1641573872903,2022-01-07 10:44:32,2.516624689102173,1.0,1094.0,1860.0,{},{},{},{},1641573872903,1641573872903,1641573872903,1641573872903
1641573813257,2022-01-07 10:43:33,4.149930953979492,0.0,1053.0,1799.0,{},{},{},{},1641573813257,1641573813257,1641573813257,1641573813257
1641573754478,2022-01-07 10:42:34,3.2166130542755127,0.0,984.0,1739.0,{},{},{},{},1641573754478,1641573754478,1641573754478,1641573754478
